antibody;BMP_signalling;TGFb_signalling;TNFa_signalling;Notch_signalling;Wnt_signalling;EGF_signalling;JAK-STAT_signalling;adhesion;proliferation;differentiation
AKT1_P;;;;;;pos;;;pos;
AKT123_P;;;;;;pos;;;pos;
AKT2;;;;;;pos;;;pos;
BMP2_4;pos;;;;;;;;;pos
BMPRII;pos;;;;;;;;;pos
CDC2;;;;;;;;;pos;
CDK4;;;;;;;;;pos;
CFOS_P;;;;;;pos;;;;
CJUN_P;;;;;;pos;;;;
CMYC;;;;;;pos;;;;
CREB_P;;;pos;;;pos;;;;
CYCLIN_B1;;;;;;;;;pos;
CYCLIN_E;;;;;;;;;pos;
EGFR_P_Y1045;;;;;;pos;;;;neg
EGFR_P_Y1173;;;;;;pos;;;;neg
EPHRIN_B3;;;;;;;;;;
ERK1_2;;;;;;pos;;;pos;
ERK1_2_P;;;;;;pos;;;pos;
FAK;;;;;;;;pos;;
FAK_P;;;;;;;;pos;;
FRIZZLED_3;;;;;pos;;;;;
GAPDH;;;;;;;;;;
GSK3B_P;;;;;neg;;;;;
H2A_P;;;;;;;;;pos;
H3_P;;;;;;;;;pos;
IGFBP_3;;;;;;;;;;pos
IKBA;;;pos;;;;;;;
IKBA_P;;;pos;;;;;;;
ITGB1;;;;;;;;pos;;neg
JAGGED_1;;;;pos;;;;;;pos
JAK1;;;;;;;pos;;;
JAK1_P;;;;;;;pos;;;
JNK;;;;;;pos;;;;
JNK_P;;;pos;;;pos;;;;neg
KALLIKREIN_6;;;;;;;;;;pos
KLF4;;;;;;;;;;pos
LRP6_P;;;;;pos;;;;;
MAPK_APK2_P;;;pos;;;pos;;;;
MAPK_P38_P;;;pos;;;pos;;;;
MAPK_P38_P2;;;pos;;;pos;;;;
MKK3_6_P;;;pos;;;pos;;;;
MTOR_P;;;;;;pos;;;;
NFKB_P65_P;;;pos;;;pos;;;;
NICD;;;;pos;;;;;;pos
NOTCH_1;;;;pos;;;;;;pos
NOTCH_2;;;;pos;;;;;;pos
NOTCH_3;;;;pos;;;;;;pos
P63;;;;;;;;;;pos
PLC_G1_P;;;;;pos;;;;;
PLC_G2_P;;;;;pos;;;;;
RB_P;;;;;;;;;neg;
RELA;;;pos;;;;;;;
RELA_P;;;pos;;;;;;;
RIBOSOMAL_S6_P;;;;;;pos;;;pos;
RNAPOLII;;;;;;;;;;
RSK1_P_S380;;;;;;pos;;;pos;
RSK1_P_T359;;;;;;pos;;;pos;
SMAD1;;;;;;;;;;
SMAD1_5_9_P;pos;;;;;;;;;pos
SMAD1_5_P;pos;;;;;;;;;pos
SMAD2_3_P;;pos;;;;;;;neg;pos
SMAD3;;pos;;;;;;;neg;pos
SRC;;;;;;pos;;pos;;
SRC_P;;;;;;pos;;pos;;
STAT1;;;;;;;pos;;;
STAT1_P;;;;;;;pos;;;
STAT3_P;;;;;;;pos;;;
STAT5_P;;;;;;;pos;;;
TGM1;;;;;;;;;;pos