"","sample_id","plate_number","treatment","cluster_round_2","cluster_round_5","cluster_round_6","cluster_round_7","cluster_round_8"
"1","plate_10_171","plate_10","ip70S6K_EGF",2,3,2,2,2
"2","plate_2_171","plate_2","ip70S6K_EGF",1,4,1,3,3
"3","plate_3_171","plate_3","iRSK_EGF",1,4,1,3,3
"4","plate_6_171","plate_6","EGF",4,4,4,6,3
"5","plate_8_171","plate_8","ip70S6K_EGF",3,7,3,4,4
"6","plate_10_169","plate_10","EGF",1,4,1,3,3
"7","plate_11_169","plate_11","EGF",8,3,7,7,5
"8","plate_2_169","plate_2","EGF",5,5,5,5,6
"9","plate_3_169","plate_3","ip70S6K_EGF",6,1,6,1,1
"10","plate_4_169","plate_4","ip70S6K_EGF",3,7,3,4,4
"11","plate_9_169","plate_9","EGF",3,7,3,4,4
"12","plate_13_172","plate_13","iRSK_EGF",3,7,3,4,4
"13","plate_3_172","plate_3","ip70S6K_EGF",3,7,3,4,4
"14","plate_6_172","plate_6","ip70S6K_EGF",2,3,6,2,5
"15","plate_8_172","plate_8","iRSK_EGF",4,4,1,3,3
"16","plate_11_186","plate_11","ip70S6K_EGF",6,1,6,1,1
"17","plate_12_186","plate_12","ip70S6K_EGF",3,1,6,1,8
"18","plate_4_186","plate_4","ip70S6K_EGF",3,7,3,4,4
"19","plate_6_186","plate_6","EGF",6,1,6,1,1
"20","plate_7_186","plate_7","EGF",2,1,5,2,2
"21","plate_9_186","plate_9","iRSK_EGF",4,6,4,6,7
"22","plate_10_156","plate_10","ip70S6K_EGF",6,1,6,1,1
"23","plate_2_156","plate_2","EGF",5,5,5,5,6
"24","plate_4_156","plate_4","ip70S6K_EGF",7,8,8,8,8
"25","plate_6_156","plate_6","EGF",8,3,7,7,5
"26","plate_8_156","plate_8","EGF",4,6,4,6,7
"27","plate_9_156","plate_9","iRSK_EGF",6,1,6,1,1
"28","plate_10_154","plate_10","ip70S6K_EGF",3,7,3,4,4
"29","plate_12_154","plate_12","ip70S6K_EGF",2,2,2,2,2
"30","plate_13_154","plate_13","ip70S6K_EGF",8,3,7,7,5
"31","plate_2_154","plate_2","EGF",4,6,4,6,7
"32","plate_3_154","plate_3","ip70S6K_EGF",1,4,1,4,4
"33","plate_4_154","plate_4","EGF",5,5,5,5,6
"34","plate_6_154","plate_6","ip70S6K_EGF",2,3,2,2,5
"35","plate_7_154","plate_7","iRSK_EGF",2,3,2,2,2
"36","plate_8_154","plate_8","iRSK_EGF",1,4,1,3,3
"37","plate_9_154","plate_9","iRSK_EGF",8,3,7,7,5
"38","plate_13_155","plate_13","iRSK_EGF",7,8,8,8,8
"39","plate_3_155","plate_3","ip70S6K_EGF",4,6,4,6,7
"40","plate_8_155","plate_8","ip70S6K_EGF",6,1,6,1,1
"41","plate_10_174","plate_10","ip70S6K_EGF",4,7,3,4,4
"42","plate_2_174","plate_2","ip70S6K_EGF",1,2,1,3,3
"43","plate_6_174","plate_6","ip70S6K_EGF",5,5,5,5,6
"44","plate_7_174","plate_7","ip70S6K_EGF",5,5,5,5,6
"45","plate_8_174","plate_8","iRSK_EGF",1,4,1,3,3
"46","plate_9_174","plate_9","ip70S6K_EGF",2,3,7,2,5
"47","plate_11_183","plate_11","EGF",2,2,2,2,2
"48","plate_13_183","plate_13","EGF",1,2,1,4,4
"49","plate_2_183","plate_2","iRSK_EGF",1,2,2,2,2
"50","plate_3_183","plate_3","iRSK_EGF",2,2,2,2,2
"51","plate_4_183","plate_4","ip70S6K_EGF",2,1,5,2,2
"52","plate_6_183","plate_6","ip70S6K_EGF",3,7,3,4,4
"53","plate_7_183","plate_7","ip70S6K_EGF",1,2,1,3,3
"54","plate_8_183","plate_8","ip70S6K_EGF",7,1,6,1,8
"55","plate_9_183","plate_9","EGF",9,9,9,9,9
"56","plate_10_151","plate_10","iRSK_EGF",4,6,4,6,7
"57","plate_11_151","plate_11","ip70S6K_EGF",6,1,6,1,1
"58","plate_13_151","plate_13","EGF",1,2,4,3,7
"59","plate_2_151","plate_2","ip70S6K_EGF",5,5,5,5,6
"60","plate_3_151","plate_3","ip70S6K_EGF",5,5,5,5,6
"61","plate_6_151","plate_6","ip70S6K_EGF",4,6,4,6,7
"62","plate_7_151","plate_7","EGF",9,9,9,9,9
"63","plate_8_151","plate_8","EGF",4,6,4,6,7
"64","plate_12_190","plate_12","ip70S6K_EGF",6,1,6,1,1
"65","plate_2_190","plate_2","iRSK_EGF",6,1,6,1,1
"66","plate_3_190","plate_3","EGF",8,3,7,7,5
"67","plate_4_190","plate_4","iRSK_EGF",3,1,3,1,1
"68","plate_7_190","plate_7","EGF",8,3,7,7,5
"69","plate_9_190","plate_9","EGF",1,4,1,3,3
"70","plate_13_173","plate_13","iRSK_EGF",3,7,3,4,4
"71","plate_4_173","plate_4","EGF",2,3,2,2,2
"72","plate_10_187","plate_10","iRSK_EGF",7,8,8,8,8
"73","plate_13_187","plate_13","ip70S6K_EGF",8,3,7,7,5
"74","plate_2_187","plate_2","EGF",1,4,1,3,3
"75","plate_4_187","plate_4","EGF",4,3,4,2,2
"76","plate_6_187","plate_6","iRSK_EGF",8,6,4,6,7
"77","plate_8_187","plate_8","EGF",3,1,3,1,1
"78","plate_12_178","plate_12","ip70S6K_EGF",6,1,6,1,1
"79","plate_3_178","plate_3","EGF",9,9,9,9,9
"80","plate_4_178","plate_4","ip70S6K_EGF",5,5,5,5,6
"81","plate_6_178","plate_6","iRSK_EGF",8,3,7,7,5
"82","plate_7_178","plate_7","ip70S6K_EGF",6,5,6,5,1
"83","plate_8_178","plate_8","EGF",7,8,8,8,8
"84","plate_10_168","plate_10","iRSK_EGF",1,2,1,4,4
"85","plate_13_168","plate_13","ip70S6K_EGF",3,7,3,4,4
"86","plate_4_168","plate_4","ip70S6K_EGF",1,4,1,4,4
"87","plate_6_168","plate_6","iRSK_EGF",3,1,3,1,1
"88","plate_7_168","plate_7","ip70S6K_EGF",8,3,7,7,5
"89","plate_9_168","plate_9","iRSK_EGF",1,4,1,4,4
"90","plate_11_185","plate_11","iRSK_EGF",1,4,1,3,3
"91","plate_12_185","plate_12","EGF",7,1,6,4,4
"92","plate_3_185","plate_3","iRSK_EGF",5,5,5,5,6
"93","plate_4_185","plate_4","EGF",5,5,5,5,6
"94","plate_6_185","plate_6","iRSK_EGF",4,6,4,6,7
"95","plate_8_185","plate_8","iRSK_EGF",3,7,3,4,4
"96","plate_10_157","plate_10","EGF",2,2,2,2,2
"97","plate_11_157","plate_11","EGF",3,7,3,4,4
"98","plate_12_157","plate_12","EGF",4,6,4,6,7
"99","plate_3_157","plate_3","iRSK_EGF",1,2,1,2,2
"100","plate_4_157","plate_4","ip70S6K_EGF",2,2,2,2,2
"101","plate_6_157","plate_6","EGF",1,2,1,3,3
"102","plate_7_157","plate_7","iRSK_EGF",7,8,8,8,8
"103","plate_8_157","plate_8","EGF",1,2,1,2,2
"104","plate_12_181","plate_12","ip70S6K_EGF",6,1,6,1,8
"105","plate_3_181","plate_3","iRSK_EGF",8,3,7,7,5
"106","plate_6_181","plate_6","EGF",7,8,8,8,8
"107","plate_9_181","plate_9","ip70S6K_EGF",6,1,3,1,1
"108","plate_10_177","plate_10","ip70S6K_EGF",2,3,2,2,2
"109","plate_11_177","plate_11","EGF",2,7,3,2,2
"110","plate_3_177","plate_3","ip70S6K_EGF",4,6,4,6,7
"111","plate_4_177","plate_4","iRSK_EGF",4,6,4,6,7
"112","plate_10_166","plate_10","iRSK_EGF",1,4,1,3,3
"113","plate_4_166","plate_4","EGF",5,5,5,5,6
"114","plate_6_166","plate_6","ip70S6K_EGF",7,8,8,8,8
"115","plate_9_166","plate_9","ip70S6K_EGF",6,1,5,1,1
"116","plate_11_167","plate_11","iRSK_EGF",1,4,1,3,3
"117","plate_12_167","plate_12","EGF",4,6,4,6,7
"118","plate_13_167","plate_13","ip70S6K_EGF",7,8,8,8,8
"119","plate_2_167","plate_2","iRSK_EGF",3,7,3,4,4
"120","plate_3_167","plate_3","iRSK_EGF",2,2,2,2,2
"121","plate_4_167","plate_4","ip70S6K_EGF",7,8,8,8,8
"122","plate_6_167","plate_6","ip70S6K_EGF",3,7,3,4,4
"123","plate_8_167","plate_8","iRSK_EGF",1,2,1,3,2
"124","plate_12_192","plate_12","ip70S6K_EGF",1,4,1,3,3
"125","plate_13_192","plate_13","ip70S6K_EGF",4,6,4,6,7
"126","plate_2_192","plate_2","ip70S6K_EGF",4,6,4,6,7
"127","plate_4_192","plate_4","ip70S6K_EGF",3,7,3,1,1
"128","plate_6_192","plate_6","ip70S6K_EGF",3,7,3,4,4
"129","plate_7_192","plate_7","EGF",4,6,4,6,7
"130","plate_8_192","plate_8","EGF",1,2,1,3,3
"131","plate_10_188","plate_10","EGF",1,2,1,3,3
"132","plate_3_188","plate_3","ip70S6K_EGF",8,3,7,7,5
"133","plate_4_188","plate_4","ip70S6K_EGF",6,1,6,1,1
"134","plate_6_188","plate_6","iRSK_EGF",1,2,2,2,2
"135","plate_9_188","plate_9","ip70S6K_EGF",8,3,7,7,5
"136","plate_10_191","plate_10","ip70S6K_EGF",1,4,1,3,3
"137","plate_13_191","plate_13","iRSK_EGF",6,1,3,1,1
"138","plate_3_191","plate_3","EGF",6,1,6,1,1
"139","plate_4_191","plate_4","ip70S6K_EGF",2,2,2,2,2
"140","plate_8_191","plate_8","iRSK_EGF",3,1,3,1,1
"141","plate_10_189","plate_10","EGF",2,2,2,2,2
"142","plate_11_189","plate_11","ip70S6K_EGF",1,4,1,3,3
"143","plate_13_189","plate_13","EGF",5,5,5,5,6
"144","plate_3_189","plate_3","ip70S6K_EGF",7,8,8,8,8
"145","plate_4_189","plate_4","EGF",1,4,1,3,3
"146","plate_8_189","plate_8","EGF",1,2,1,3,3
"147","plate_9_189","plate_9","EGF",4,6,4,6,7
"148","plate_10_184","plate_10","iRSK_EGF",4,6,8,6,8
"149","plate_12_184","plate_12","iRSK_EGF",1,2,4,6,7
"150","plate_3_184","plate_3","ip70S6K_EGF",1,4,1,3,3
"151","plate_6_184","plate_6","ip70S6K_EGF",2,2,2,2,2
"152","plate_8_184","plate_8","iRSK_EGF",1,2,1,3,3
"153","plate_11_170","plate_11","EGF",6,1,6,1,1
"154","plate_3_170","plate_3","iRSK_EGF",4,6,4,6,7
"155","plate_4_170","plate_4","iRSK_EGF",3,7,3,4,4
"156","plate_6_170","plate_6","iRSK_EGF",8,3,7,7,5
"157","plate_7_170","plate_7","ip70S6K_EGF",1,4,1,3,3
"158","plate_8_170","plate_8","iRSK_EGF",3,7,3,4,4
"159","plate_9_170","plate_9","ip70S6K_EGF",4,6,4,6,7
"160","plate_3_179","plate_3","iRSK_EGF",8,3,7,7,5
"161","plate_4_179","plate_4","ip70S6K_EGF",3,1,3,1,1
"162","plate_6_179","plate_6","iRSK_EGF",4,7,3,4,2
"163","plate_7_179","plate_7","iRSK_EGF",2,3,2,2,2
"164","plate_10_153","plate_10","ip70S6K_EGF",1,4,1,3,3
"165","plate_11_153","plate_11","ip70S6K_EGF",6,1,6,1,1
"166","plate_13_153","plate_13","ip70S6K_EGF",2,3,2,2,2
"167","plate_2_153","plate_2","iRSK_EGF",4,6,4,6,7
"168","plate_6_153","plate_6","EGF",6,5,6,5,1
"169","plate_7_153","plate_7","EGF",1,4,1,4,4
"170","plate_8_153","plate_8","EGF",6,1,6,1,1
"171","plate_9_153","plate_9","iRSK_EGF",1,4,1,3,3
"172","plate_12_175","plate_12","iRSK_EGF",1,4,1,3,3
"173","plate_13_175","plate_13","EGF",1,4,1,3,3
"174","plate_3_175","plate_3","EGF",4,4,4,6,7
"175","plate_7_175","plate_7","iRSK_EGF",1,4,1,3,3
"176","plate_10_237","plate_10","iRSK_EGF",5,8,8,8,9
"177","plate_11_237","plate_11","ip70S6K_EGF",9,9,9,9,9
"178","plate_12_237","plate_12","iRSK_EGF",8,3,7,7,5
"179","plate_13_237","plate_13","EGF",5,5,5,5,6
"180","plate_2_237","plate_2","EGF",1,2,1,3,3
"181","plate_3_237","plate_3","ip70S6K_EGF",1,2,2,3,2
"182","plate_6_237","plate_6","iRSK_EGF",4,4,4,8,3
"183","plate_7_237","plate_7","EGF",9,9,9,9,9
"184","plate_8_237","plate_8","EGF",5,5,5,5,6
"185","plate_10_182","plate_10","ip70S6K_EGF",8,3,7,7,5
"186","plate_11_182","plate_11","ip70S6K_EGF",7,8,8,8,8
"187","plate_13_182","plate_13","EGF",7,4,1,8,4
"188","plate_2_182","plate_2","EGF",2,3,7,2,5
"189","plate_4_182","plate_4","ip70S6K_EGF",7,8,8,8,8
"190","plate_6_182","plate_6","EGF",3,7,3,1,1
"191","plate_7_182","plate_7","EGF",1,4,1,3,3
"192","plate_10_222","plate_10","iRSK_EGF",1,4,1,3,3
"193","plate_13_222","plate_13","EGF",9,9,2,2,9
"194","plate_2_222","plate_2","ip70S6K_EGF",6,1,5,1,1
"195","plate_3_222","plate_3","EGF",9,9,9,9,9
"196","plate_4_222","plate_4","EGF",9,9,9,9,9
"197","plate_7_222","plate_7","iRSK_EGF",5,5,5,5,6
"198","plate_8_222","plate_8","EGF",6,1,5,1,1
"199","plate_10_221","plate_10","iRSK_EGF",2,3,2,2,2
"200","plate_11_221","plate_11","EGF",4,6,4,6,7
"201","plate_12_221","plate_12","ip70S6K_EGF",7,4,1,4,4
"202","plate_13_221","plate_13","ip70S6K_EGF",1,2,1,3,3
"203","plate_3_221","plate_3","EGF",6,1,3,1,1
"204","plate_4_221","plate_4","ip70S6K_EGF",5,5,5,5,6
"205","plate_10_213","plate_10","iRSK_EGF",2,6,2,2,2
"206","plate_4_213","plate_4","ip70S6K_EGF",4,6,4,6,7
"207","plate_6_213","plate_6","EGF",7,4,1,8,3
"208","plate_11_235","plate_11","ip70S6K_EGF",9,9,9,9,9
"209","plate_3_235","plate_3","ip70S6K_EGF",2,2,2,2,2
"210","plate_7_235","plate_7","EGF",9,9,9,9,9
"211","plate_9_235","plate_9","ip70S6K_EGF",5,5,5,5,6
"212","plate_10_176","plate_10","EGF",2,2,2,2,2
"213","plate_11_176","plate_11","ip70S6K_EGF",2,2,2,2,2
"214","plate_13_176","plate_13","ip70S6K_EGF",2,2,2,2,2
"215","plate_2_176","plate_2","iRSK_EGF",2,2,2,2,2
"216","plate_6_176","plate_6","EGF",2,2,2,2,2
"217","plate_7_176","plate_7","EGF",2,2,2,2,2
"218","plate_10_231","plate_10","iRSK_EGF",1,2,1,2,2
"219","plate_12_231","plate_12","EGF",2,3,2,2,2
"220","plate_2_231","plate_2","EGF",3,1,3,1,1
"221","plate_3_231","plate_3","ip70S6K_EGF",3,1,6,1,1
"222","plate_4_231","plate_4","ip70S6K_EGF",2,3,2,2,2
"223","plate_9_231","plate_9","ip70S6K_EGF",5,5,5,5,6
"224","plate_13_205","plate_13","EGF",7,4,1,8,4
"225","plate_4_205","plate_4","ip70S6K_EGF",2,5,2,2,2
"226","plate_6_205","plate_6","ip70S6K_EGF",8,7,3,7,5
"227","plate_7_205","plate_7","EGF",3,7,3,4,4
"228","plate_8_205","plate_8","EGF",8,3,7,7,5
"229","plate_13_241","plate_13","iRSK_EGF",5,6,4,6,7
"230","plate_2_241","plate_2","EGF",5,5,5,5,6
"231","plate_3_241","plate_3","ip70S6K_EGF",3,7,3,4,4
"232","plate_4_241","plate_4","ip70S6K_EGF",6,1,6,1,1
"233","plate_6_241","plate_6","iRSK_EGF",5,5,5,5,6
"234","plate_8_241","plate_8","ip70S6K_EGF",9,9,9,9,9
"235","plate_9_241","plate_9","iRSK_EGF",8,3,7,7,5
"236","plate_11_206","plate_11","ip70S6K_EGF",3,7,3,4,4
"237","plate_2_206","plate_2","ip70S6K_EGF",7,4,1,4,4
"238","plate_4_206","plate_4","EGF",4,4,1,3,3
"239","plate_7_206","plate_7","ip70S6K_EGF",7,4,1,4,4
"240","plate_8_206","plate_8","EGF",1,4,1,4,4
"241","plate_9_206","plate_9","ip70S6K_EGF",2,2,2,2,2
"242","plate_10_216","plate_10","ip70S6K_EGF",6,1,6,1,1
"243","plate_11_216","plate_11","EGF",2,3,2,2,5
"244","plate_12_216","plate_12","EGF",1,4,1,3,3
"245","plate_13_216","plate_13","iRSK_EGF",3,1,3,1,1
"246","plate_2_216","plate_2","iRSK_EGF",7,4,3,4,4
"247","plate_4_216","plate_4","EGF",5,5,5,5,6
"248","plate_6_216","plate_6","ip70S6K_EGF",2,2,2,2,2
"249","plate_8_216","plate_8","EGF",2,2,2,2,2
"250","plate_9_216","plate_9","ip70S6K_EGF",4,2,2,3,2
"251","plate_10_208","plate_10","ip70S6K_EGF",6,1,6,1,1
"252","plate_12_208","plate_12","iRSK_EGF",1,4,1,3,3
"253","plate_13_208","plate_13","ip70S6K_EGF",6,1,6,1,1
"254","plate_2_208","plate_2","ip70S6K_EGF",6,1,6,1,1
"255","plate_3_208","plate_3","EGF",2,2,2,2,2
"256","plate_4_208","plate_4","iRSK_EGF",1,2,1,4,4
"257","plate_7_208","plate_7","EGF",8,3,7,7,5
"258","plate_13_165","plate_13","iRSK_EGF",6,1,6,1,1
"259","plate_2_165","plate_2","iRSK_EGF",6,1,6,1,1
"260","plate_3_165","plate_3","iRSK_EGF",2,7,3,4,4
"261","plate_6_165","plate_6","iRSK_EGF",3,1,3,1,1
"262","plate_7_165","plate_7","iRSK_EGF",4,6,4,6,7
"263","plate_12_230","plate_12","iRSK_EGF",7,4,1,8,4
"264","plate_13_230","plate_13","EGF",1,4,1,3,3
"265","plate_2_230","plate_2","ip70S6K_EGF",6,1,6,1,1
"266","plate_4_230","plate_4","iRSK_EGF",5,5,5,5,6
"267","plate_6_230","plate_6","EGF",3,7,3,4,4
"268","plate_9_230","plate_9","iRSK_EGF",5,8,4,6,8
"269","plate_10_203","plate_10","ip70S6K_EGF",8,3,7,7,5
"270","plate_11_203","plate_11","ip70S6K_EGF",6,1,6,1,1
"271","plate_13_203","plate_13","iRSK_EGF",8,3,7,7,5
